lharea,lhhighaverage,lhlowaverage,lhaverage,lhhighstd,lhlowstd,rharea,rhhighaverage,rhlowaverage,rhaverage,rhhighstd,rhlowstd,area
ctx_lh_G_and_S_frontomargin,4.158988726,6.437478968,5.298233847,0.477110087,0.660458785,ctx_rh_G_and_S_frontomargin,1.3036991208,1.039761963,1.171730542,0.1701693618,0.1330778409,G_and_S_frontomargin
ctx_lh_G_and_S_occipital_inf,1.167736308,0.807838297,0.987787302,0.134487392,0.094927408,ctx_rh_G_and_S_occipital_inf,1.5333323117,1.512972320,1.523152316,0.2087166909,0.1685784736,G_and_S_occipital_inf
ctx_lh_G_and_S_paracentral,3.802099092,4.357260306,4.079679699,0.438754510,0.612877096,ctx_rh_G_and_S_paracentral,1.9399034148,2.413662260,2.176782837,0.3298431388,0.3338997303,G_and_S_paracentral
ctx_lh_G_and_S_subcentral,3.334667891,4.399422173,3.867045032,0.382309773,0.384172317,ctx_rh_G_and_S_subcentral,2.6028928682,2.812290702,2.707591785,0.3643640706,0.5618859123,G_and_S_subcentral
ctx_lh_G_and_S_transv_frontopol,4.758316509,4.975743764,4.867030136,0.548145060,0.808223060,ctx_rh_G_and_S_transv_frontopol,0.8529588028,0.783245629,0.818102216,0.135589406,0.09190421131,G_and_S_transv_frontopol
ctx_lh_G_and_S_cingul-Ant,3.234398450,5.081704019,4.158051235,0.371483964,0.366446627,ctx_rh_G_and_S_cingul-Ant,2.2371012426,2.890495237,2.563798240,0.2018094954,0.2112208198,G_and_S_cingul-Ant
ctx_lh_G_and_S_cingul-Mid-Ant,3.874871015,5.637246587,4.756058801,0.446582144,0.749403499,ctx_rh_G_and_S_cingul-Mid-Ant,2.0906852640,2.832208003,2.461446634,0.2464933006,0.340825439,G_and_S_cingul-Mid-Ant
ctx_lh_G_and_S_cingul-Mid-Post,5.528424685,5.055622289,5.292023487,0.635881359,0.857968209,ctx_rh_G_and_S_cingul-Mid-Post,1.8496333465,2.472718998,2.161176173,0.2049456697,0.3150732252,G_and_S_cingul-Mid-Post
ctx_lh_G_cingul-Post-dorsal,3.351304351,3.813608778,3.582456565,0.384274279,0.382442892,ctx_rh_G_cingul-Post-dorsal,2.3375604041,2.421264844,2.379412624,0.240034615,0.2809259057,G_cingul-Post-dorsal
ctx_lh_G_cingul-Post-ventral,5.986929804,5.822992861,5.904961332,0.682607322,1.055822444,ctx_rh_G_cingul-Post-ventral,3.3950321610,2.567387167,2.981209664,0.4263836444,0.3482590249,G_cingul-Post-ventral
