x,y,score,pvalue,x raw,y raw
lh_G_temporal_inf,lh_S_temporal_inf,0.74950117903138000000,0.00000000000000000000,G_temporal_inf,S_temporal_inf
lh_G_oc-temp_lat-fusifor,lh_S_oc-temp_lat,0.74315254852167600000,0.00000000000000000000,G_oc-temp_lat-fusifor,S_oc-temp_lat
lh_G_and_S_cingul-Mid-Ant,lh_S_front_sup,0.72686861690345700000,0.00000000000000000000,G_and_S_cingul-Mid-Ant,S_front_sup
lh_G_temporal_middle,lh_S_temporal_inf,0.71558135316524500000,0.00000000000000000000,G_temporal_middle,S_temporal_inf
lh_G_front_middle,lh_S_front_sup,0.70690219216644100000,0.00000000000000000000,G_front_middle,S_front_sup
lh_G_pariet_inf-Supramar,lh_Lat_Fis-post,0.70409505310258700000,0.00000000000000000000,G_pariet_inf-Supramar,Lat_Fis-post
lh_G_temporal_inf,lh_G_temporal_middle,0.69254489388717500000,0.00000000000000000000,G_temporal_inf,G_temporal_middle
lh_G_front_middle,lh_S_front_inf,0.69109377834210000000,0.00000000000000000000,G_front_middle,S_front_inf
lh_G_and_S_cingul-Mid-Post,lh_S_precentral-sup-part,0.68557936352230000000,0.00000000000000000000,G_and_S_cingul-Mid-Post,S_precentral-sup-part
lh_G_occipital_middle,lh_S_oc_middle_and_Lunatus,0.67377905189568600000,0.00000000000000000000,G_occipital_middle,S_oc_middle_and_Lunatus
rh_G_temp_sup-Lateral,rh_G_temp_sup-Plan_polar,0.66225285688372900000,0.00000000000000000000,G_temp_sup-Lateral,G_temp_sup-Plan_polar
lh_G_precuneus,rh_G_precuneus,0.66225285688372900000,0.00000000000000000000,G_precuneus,G_precuneus
lh_S_oc-temp_lat,lh_S_temporal_inf,0.65880645746417500000,0.00000000000000000000,S_oc-temp_lat,S_temporal_inf
rh_G_temporal_inf,rh_S_temporal_inf,0.65826228913477200000,0.00000000000000000000,G_temporal_inf,S_temporal_inf
lh_G_oc-temp_lat-fusifor,lh_G_temporal_inf,0.65753673136223400000,0.00000000000000000000,G_oc-temp_lat-fusifor,G_temporal_inf
lh_G_oc-temp_lat-fusifor,lh_S_temporal_inf,0.65699256303283100000,0.00000000000000000000,G_oc-temp_lat-fusifor,S_temporal_inf
